clean_tweet,Volume,Polarity,target
My thoughts on bitcoin right now I think it will close a tiny red daily candle now and just after 0 00 GMT will g,0.74534497,0.090909091,2.714391
RT My thoughts on bitcoin right now I think it will close a tiny red daily candle now and just after 0 00 GMT will gain press,0.03484,0.136363636,-0.848281
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,3.50425958,0,-22.151719
RT defi Pre sale live Official time 10 00 Apr 06 2021 05 00 Apr 15 2021 UTC Pre sale Price 1 BALL 0 078 BNB Release Price,1.62249638,0,-1
EOSUP USDT Volume increase detected Spike 556 001 00 USDT 24h Vol 16 169 559 41 USDT Get ALL the alerts her,34.83050637,0.090909091,115
The price of Spaghetti alla Carbonara is 18 371 Satoshis or 0 00018371 BTC 1 BTC 59 823 70 USD 1 USD 1 672 Sat,0.82677174,-0.038383838,0
Crypto highlights as of 2021 04 12 20 00 02 Bitcoin 59 856 62 0 23 Ethereum 2 139 25 0 53,6.23259908,0.001010101,75
New Crypto Daily Candle BTC 59 911 00 0 13 ETH 2 142 48 0 36 ADA 1 32 4 24 DOT 40 56 1 9,10.17002691,0.170454545,15
RT My thoughts on bitcoin right now I think it will close a tiny red daily candle now and just after 0 00 GMT will gain press,7.03905423,0,38.579236
3 524 005 TRX LONGED 0 1293975 13 04 21 00 02 42 FTX TRX PERP Every human screwed by a bank makes bit,28.17228715,-0.087878788,-54.579236
on the 04 13 2021 at 12 03 1BTC was worth 59874 00 Bitcoin Crypto BotcoinUSD Bitfinex,5.19728075,0.055555556,0
The current price of bitcoin is 59 882 00 It has decreased by 0 323 in the last 24 hours bitcoin btc cryptocurrency,9.06124125,0.196969697,-36
BTC Close 59910 00 USD 116 00 High 61262 00 Low 59655 00 bitcoin btc,6.13803125,0.090909091,-4
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,2.95223689,-0.127777778,-26
BTC 1 463 35 104 52 ETH 1 692 43 120 89 ADA 1 781 72 127 27 BNB 3 185 45 227 53 DOGE 1 7,3.30248767,-0.060606061,-29.202108
RT New Crypto Daily Candle BTC 59 911 00 0 13 ETH 2 142 48 0 36 ADA 1 32 4 24 DOT 40 56 1 9,4.0052,-0.013492063,-6.797892
Bitcoin Current Price 60 120 29 Bitcoin Target Price 100 000 00 60,4.12287716,0.020833333,57
The current price of Bitcoin is 60131 00 The current price of BCash is 674 89 or 0 01122366 BTC The current pr,1.21953516,0.170454545,16
1 Bitcoin price is 60217 94 0 44 1h 2 Ethereum price is 2154 14 0 37 1h 3 Binance Coin price is 598 21,3.28868507,0.045454545,-21
I m discussing Crypto N Coffee Bitcoin BTC Who Where Why with Jay Mac mineyourbiz Simon C,1.65170636,0.125,19
RT The Cricket is BACK 14 00 GMT IPL Place your bets now 1 SPunjab Kings 1 83 WINNER 2 R,0.60914499,0,-4
RT The Cricket is BACK 14 00 GMT IPL Place your bets now 1 SPunjab Kings 1 83 WINNER 2 R,2.01556596,0,-21.60730898
Half hourly price update USDT BSV Bitcoin 263 64 Dead forks BTC Blockstream Turd Coin 60251 00 BCH BTrash 678 39,0.2030111,0.045454545,0.31330898
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,2.51373521,0.090909091,1.294
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,0.48530844,0,-69
Pump Alert ARDR USDT on Binance Price increase 7 63 Volume 19 00 ARDR USDT binance crypto bitcoin,1.27206328,-0.061111111,54
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,0.14080828,-0.044444444,-12
RT New Listing BKEX will list PUNDIX Trading pair PUNDIX USDT Trading time 14 00 on Apr 9 UTC 8,4.04811131,0,-1
RT New Listing BKEX will list BOSON Trading pair BOSON USDT Trading time 17 00 on Apr 9 UTC 8,0.15300122,0.045454545,-3
RT Pump Alert ARDR USDT on Binance Price increase 7 63 Volume 19 00 ARDR USDT binance crypto bitcoin cryptoa,0.41573,0.045454545,33
MFT Rocket Signal detected Pump Alert Detected Last Price 0 02380300 Let s watch the trade live on Binance,3.61453158,0.066287879,12
If you invested your 1 400 00 stimulus check on 03 16 21 when bitcoin was 55 805 70 your investment is now worth,0.58820776,0.106060606,3.9338416
If you invested your 600 00 stimulus check on 01 07 21 when bitcoin was 39 204 70 your investment is now worth,0.25429766,0.045454545,-19.9338416
760M Worth Of Bitcoin Transferred From Coinbase Ahead Of IPO Report Shows,0.13114762,0.090909091,2
XRP USDT 1 90 2 00 Target if this goes as planned btc Bitcoin crypto Ripple,0.43,0.106060606,13.16765296
REP Rocket Signal detected Pump Alert Detected Last Price 52 50900000 Let s watch the trade live on Binance,0.07491588,0.106060606,0
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,0.51582,0,3.83234704
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,5.23022672,0.201010101,80
Bexpress Pro Daily Market Price as of April 13 2021 09 00 AM PHT Download now Play Store,1.13231862,0.045454545,0
MicroStrategy says non employee directors to get fee in bitcoin Reuters Price of BTC at 00 59 07 60 433 4126 S,4.65366359,0.045454545,-74.29996976
The price of Spaghetti alla Carbonara is 18 195 Satoshis or 0 00018195 BTC 1 BTC 60 399 90 USD 1 USD 1 656 Sat,2.75777738,0.045454545,-53.70003024
Average Bitcoin market price is USD 60 410 00 EUR 50 659 37,9.01776589,0.224242424,-68
Crypto fees avg amp stats for the past 24 hours gt Bitcoin 18 94 tx paid in fees gt Ethereum 13 79 tx paid i,2.15302706,0.090909091,-2
on the 04 13 2021 at 01 00 1BTC was worth 60427 00 Bitcoin Crypto BotcoinUSD Bitfinex,0.95028967,0.022727273,44.97184946
RT 100 to someone who retweets this and upvotes refer to picture in 6 hours giveaway bitcoin et,0.12385,0,-8.97184946
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,2.98748765,0.090909091,-37
2 716 BTC 162 640 000 USD move from multiple addresses to unknown wallet Date 2021 04 13 00 59 56 GMT 0,0.86360243,0.068181818,41.782705
The current price of bitcoin is 60 440 00 It has increased by 1 013 in the last 24 hours bitcoin btc cryptocurrency,0.08682881,0,-22.782705
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,0.00583,0.045454545,-8
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,4.06865334,0.090909091,-11
The current price of Bitcoin is 60411 00 The current price of BCash is 671 21 or 0 01111072 BTC The current pr,0.69299752,0.045454545,-0.61832054
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,5.95606073,0.045454545,10.61832054
1 Bitcoin price is 60292 87 0 37 1h 2 Ethereum price is 2152 24 0 09 1h 3 Binance Coin price is 593 34,3.29889955,0.090909091,31
RT Pump Alert ARDR USDT on Binance Price increase 7 63 Volume 19 00 ARDR USDT binance crypto bitcoin cryptoa,2.10119977,0,-4.04996603
Half hourly price update USDT BSV Bitcoin 261 66 Dead forks BTC Blockstream Turd Coin 60269 95 BCH BTrash 669 00,0.78239152,-0.083333333,52.04996603
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,1.00003908,-0.061111111,-4
Bitcoin price in US Dollar BTC usd BTCUSD XBT xbtusd BTC Price Now 60 308 00 USD Avg Last Hour 60 341,3.43994414,0.045454545,-36.13605593
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,0.0725489,-0.021717172,29.78477525
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,0.0272986,-0.021717172,0
Hourly Price Alert BTC rose by 1 13 to 60 609 00 LTC dropped by 0 39 to 251 82 ETH rose by 0 66 to 2 164,8.837081,-0.060606061,-19.64871932
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,4.15852285,0.045454545,-54
The price of Spaghetti alla Carbonara is 18 129 Satoshis or 0 00018129 BTC 1 BTC 60 622 60 USD 1 USD 1 650 Sat,0.02639774,0,-1.287827
Crypto highlights as of 2021 04 12 22 00 02 Bitcoin 60 676 56 1 2 Ethereum 2 166 46 0 81,3.07676551,0.045454545,44.287827
Bitcoin Fear Index on google search statistics higher more market fear Bitcoin BTC crypto cryptocurrency,0.78070567,0.266666667,12
Bitcoin on Monday moved lower with 0 24 lower to 59 860 00 crypto btc More at,31.48706617,0.090909091,149
on the 04 13 2021 at 02 01 1BTC was worth 60741 00 Bitcoin Crypto BotcoinUSD Bitfinex,0.67381335,0,-2
The current price of bitcoin is 60 940 00 It has increased by 1 775 in the last 24 hours bitcoin btc cryptocurrency,2.47168812,0.090909091,-22
BTC 1 482 01 105 86 ETH 1 713 02 122 36 ADA 1 763 95 126 00 BNB 3 149 98 225 00 DOGE 1 7,0.20546592,0.045454545,0
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,4.01875706,0.045454545,-65
The current price of Bitcoin is 60662 00 The current price of BCash is 673 39 or 0 01110069 BTC The current pr,0.443493,0,0
1 Bitcoin price is 60566 13 0 58 1h 2 Ethereum price is 2162 25 0 38 1h 3 Binance Coin price is 581 63,0.39405935,0,0
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,1.12219399,0.145454545,-10
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,2.1517416,-0.061111111,-25
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,1.71920382,0.151515152,33
In Venezuela if you have 1 Bitcoin you are a billionaire 1 Bitcoin 143 520 000 000 Bolivars That is the amou,2.14280873,0.366666667,-50
New listing BOSON Trading pair BOSON USDT Signup in CoinEx OPEN,0.55162007,0.145454545,0
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,21.73130014,0.045454545,-36
New listing RNDR Trading pair RNDR USDT Signup in CoinEx Distri,0.73567348,0,2
Luno Malaysia Bitcoin Promo code NTTZK Get FREE MYR25 worth of Bitcoin How 1 Sign up with my invite link 2,2.51327428,-0.083333333,56
RT The Cricket is BACK 14 00 GMT IPL Place your bets now 1 SPunjab Kings 1 83 WINNER 2 R,2.91586641,0.045454545,-39
New Bitcoin block 00 a0ee60abd1ae047d41a8cd5e56b7be07b8ecfe232fa1f 2200 transactions transferred a total of 544 8,5.00191019,0.090909091,-65
30MIN BTC USD 60 782 31 Besides dipping below 60K for a short time BTC has continued to show more support in the,4.85108351,0,41
Price of Bitcoin U 60 830 56 U 50 941 29 R 350 281 00 24H change 1 92 Week change 3 50 Month,2.09076405,0,-31
The price of Spaghetti alla Carbonara is 18 074 Satoshis or 0 00018074 BTC 1 BTC 60 805 00 USD 1 USD 1 645 Sat,0.43889218,0,12
The current price of bitcoin is 60 915 00 It has increased by 2 054 in the last 24 hours bitcoin btc cryptocurrency,2.89855366,0,-12
RT 50 in bitcoin to someone that tags 5 friends Follows Myself amp sign up for this place,2.95278521,-0.061111111,-48
New Bitcoin block 00 b1a4bb05e7978ea99ad6206d1b9456b3307956c5c75d7 2306 transactions transferred a total of 7806,2.4335148,0.045454545,-3
Bitcoin BTC Current Price 61 048 14 1 Hour 1 00 24 Hours 1 89 7 Days 3 79 btc bitcoin,13.42622078,0,-132
RT 100 to someone who retweets this and follows joins telegram in 24 hours giveaw,5.18068998,0.178787879,-12
The current price of Bitcoin is 60974 00 The current price of BCash is 674 74 or 0 01106603 BTC The current pr,0.92825907,0.001666667,25
RT I m giving away 50 worth of DOT LINK UNI BNB 5 lucky people will be picked You choose which coin you w,4.19077089,0.170454545,-101
1 Bitcoin price is 60839 82 0 91 1h 2 Ethereum price is 2169 54 0 80 1h 3 Binance Coin price is 572 50,7.14068187,0.2,38
HSBC bans clients from buying shares of MicroStrategy which has become known for its massive bitcoin purchases,1.25517372,0.333333333,28
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,0.44481935,0.333333333,1
RT Bitcoin SV Giveaway I will give 100 in BSV to 1 person in 24 hours Like Retweet amp Follow,1.9735751,0,15
Will create a cocktail of surprises for us Pump Pump Pump Get ready for IMO Sale,0.165,0.2,1
Half hourly price update USDT BSV Bitcoin 263 14 Dead forks BTC Blockstream Turd Coin 60694 27 BCH BTrash 676 00,6.21839591,0.289393939,-69
RT The price of Spaghetti alla Carbonara is 18 074 Satoshis or 0 00018074 BTC 1 BTC 60 805 00 USD 1 USD 1 645 Sat on M,3.573436,0.125,19
RT Price of Bitcoin U 60 830 56 U 50 941 29 R 350 281 00 24H change 1 92 Week change 3 50 Month ch,2.13021829,0.045454545,-31
RT My thoughts on bitcoin right now I think it will close a tiny red daily candle now and just after 0 00 GMT will gain press,7.39758728,0.083333333,-43
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,6.71478102,0,10
Just stick to bitcoin which has been such a great investment past 10 years Many youngsters have bou,0.03256796,0.125,50
Ring me when 1 00 000,1.12628761,0.2,65
Daily bitcoin update Rising again 1 Bitcoin equals 60 790 00 United States Dollar After 61 K it will be racing,5.09079812,0.045454545,61
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,0.23261887,0.1,10.152935
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,0.91743113,0.166666667,34.847065
RT Bitcoin BTC Current Price 61 048 14 1 Hour 1 00 24 Hours 1 89 7 Days 3 79 btc bitcoin,0.22173891,0,-12
ETP Area New added underlyings in ETP Area CAKE3L CAKE3S Time 15 00 04 13 2021 UTC 8 More deta,0.43471264,0.166666667,21
Half hourly price update USDT BSV Bitcoin 262 58 Dead forks BTC Blockstream Turd Coin 60552 65 BCH BTrash 676 00,4.00606921,0.045454545,-21
RT ETP Area New added underlyings in ETP Area CAKE3L CAKE3S Time 15 00 04 13 2021 UTC 8 More details https,0.10337972,0,0
The price of Spaghetti alla Carbonara is 18 192 Satoshis or 0 00018192 BTC 1 BTC 60 410 70 USD 1 USD 1 655 Sat,2.66244343,0,55
Crypto Google Search Volumes previous 7 days btc cryptocurrency crypto bitcoin dogecoin cardano ADA,0.01696817,0.045454545,-2
Top 5 cryptocurrencies Daily price Bitcoin 61045 0 0000000 Ripple 1 46 0 0000000 Ethereum 2051 0,5.20782272,0.027777778,-18
on the 04 13 2021 at 04 00 1BTC was worth 60522 00 Bitcoin Crypto BotcoinUSD Bitfinex,3.26161371,-0.061111111,24.589385
1 BTC Price Bitstamp 60405 87 USD Coinbase USD btc bitcoin 2021 04 13 00 01,6.55620071,0.166666667,-37.589385
Crypto prices 12 00 AM 4 13 21 Bitcoin BTC BTC Ethereum ETH Tether USDT,0.46372599,0,-16
RT avax AVAXUSD avaxusdt Avalanche coin binance Bitcoin elliot elliott Elliottwave ew EW Avax Avalanche Usdt Usdc,8.11427277,0.271401515,-29.72958368
The current price of bitcoin is 60 457 00 It has increased by 0 120 in the last 24 hours bitcoin btc cryptocurrency,3.78785481,0,16.72958368
ComBkex ETP Area New added underlyings in ETP Area CAKE3L CAKE3S Time 15 00 04 13 2021 UTC 8,6.95042939,0.166666667,-40
RT ETP Area New added underlyings in ETP Area CAKE3L CAKE3S Time 15 00 04 13 2021 UTC 8 More details https,0.68074281,0.045454545,10
The current price of Bitcoin is 60239 00 The current price of BCash is 673 24 or 0 01117615 BTC The current pr,1.44545829,0.166666667,48
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,2.01536508,0.166666667,10.90751556
New Bitcoin block 00 c789803f1a74ffcdab4e64e7a07f65e5e97c1d1dd22c 1321 transactions transferred a total of 2024 0,4.25675536,0.212121212,-72.90751556
1 Bitcoin price is 60426 72 0 23 1h 2 Ethereum price is 2162 01 0 01 1h 3 Binance Coin price is 564 0,7.0208999,0.022727273,-9
RT ETP Area New added underlyings in ETP Area CAKE3L CAKE3S Time 15 00 04 13 2021 UTC 8 More details https,2.91439776,0,2.09858085
RT ETP Area New added underlyings in ETP Area CAKE3L CAKE3S Time 15 00 04 13 2021 UTC 8 More details https,10.24749177,0,-33.09858085
RT Crypto fees avg amp stats for the past 24 hours gt Bitcoin 18 94 tx paid in fees gt Ethereum 13 79 tx paid in f,0.76918917,0.166666667,22
RT ETP Area New added underlyings in ETP Area CAKE3L CAKE3S Time 15 00 04 13 2021 UTC 8 More details https,2.91624477,0.208333333,-17
RT ETP Area New added underlyings in ETP Area CAKE3L CAKE3S Time 15 00 04 13 2021 UTC 8 More details https,3.23164179,0.208333333,0
The BTC price is at 60500 00 right now Compared to the last tweet the price has increased by 40 94 0 07,22.45349788,0.084343434,-31
New Bitcoin block 00 32b0c735e3939f58ecd9fdcbad248bccd400d6c7842e2 1306 transactions transferred a total of 1202,8.42399238,0.2,-19
RT I wish I had kept my 1 700 BTC 0 06 instead of selling them at 0 30 now that they re 8 00 bitcoin,7.14325543,0.109343434,-42.384955
RT 50 in 24hrs RT Follow me and RT his pinned DM me to sponsor giveaway like this Bitcoin BSC N,2.30599037,0.178787879,75.384955
Bitcoin is seemingly gaining bullish momentum above USD 60 000 Ethereum could soon attempt a break above USD,3.78192687,0.085,21
